"distA";"distB";"distC";"distD";"distE";"distF";"distG";"temA";"temB";"temC";"temD";"temE";"temF";"temG";"dist";"tem"
"97";10.1173;9.5752;7.0074;6.8388;7.0449;4.899;1.9398;14.5016666666667;14.0983333333333;11.025;10.7266666666667;10.8316666666667;7.485;3.43333333333333;"G";"G"
"98";10.5674;10.0252;6.6574;7.2889;7.495;4.8702;2.5461;14.1683333333333;13.765;10.3466666666667;10.3933333333333;10.4983333333333;7.04333333333333;4.85666666666667;"G";"G"
"99";11.3777;10.8355;8.2677;8.0992;8.3053;6.1593;3.2001;16.4616666666667;16.0583333333333;12.985;12.6866666666667;12.7916666666667;9.445;5.39333333333333;"G";"G"
"100";11.7086;11.1664;8.1482;8.4301;8.6362;6.3611;3.531;16.585;16.1816666666667;12.7816666666667;12.81;12.915;9.47833333333333;5.51666666666667;"G";"G"
"101";12.5986;12.0564;9.0382;9.3201;9.5262;7.2511;4.421;17.3866666666667;16.9833333333333;13.5833333333333;13.6116666666667;13.7166666666667;10.28;6.31833333333333;"G";"G"
"102";12.8414;12.2992;9.281;9.5629;9.769;7.4938;4.6638;17.2083333333333;16.805;13.405;13.4333333333333;13.5383333333333;10.1016666666667;6.14;"G";"G"
"103";17.2617;14.6011;18.9544;15.5046;15.3145;16.4001;18.6487;18.4183333333333;15.1616666666667;21.73;16.9516666666667;16.6983333333333;17.865;21.3066666666667;"B";"B"
"104";17.1954;14.5349;18.8881;15.4383;15.2483;16.3338;18.5824;18.4566666666667;15.2;21.7683333333333;16.99;16.7366666666667;17.9033333333333;21.345;"B";"B"
"105";17.682;15.0215;19.3747;15.9249;15.7349;16.8204;19.069;19.2733333333333;16.0166666666667;22.585;17.8066666666667;17.5533333333333;18.72;22.1616666666667;"B";"B"
"106";18.5754;15.9148;20.2681;16.8183;16.6282;17.7138;19.9624;20.27;17.0133333333333;23.5816666666667;18.8033333333333;18.55;19.7166666666667;23.1583333333333;"B";"B"
"107";18.7618;16.1013;20.4545;17.0047;16.8147;17.9002;20.1488;20.6616666666667;17.405;23.9733333333333;19.195;18.9416666666667;20.1083333333333;23.55;"B";"B"
"108";14.8999;15.5304;18.412;18.0662;18.0015;20.355;22.7656;15.8216666666667;16.85;20.995;21.3166666666667;20.8866666666667;23.6133333333333;26.6433333333333;"A";"A"
"109";14.0186;11.3581;15.7113;12.2615;12.0715;13.157;15.4056;16.2683333333333;13.0116666666667;19.58;14.8016666666667;14.5483333333333;15.715;19.1566666666667;"B";"B"
"110";8.4301;9.0606;11.9422;11.5964;11.5317;13.8853;16.2958;10.8183333333333;11.8466666666667;15.9916666666667;16.3133333333333;15.8833333333333;18.61;21.64;"A";"A"
"111";6.6934;7.3239;10.2055;9.8597;9.795;12.1485;14.5591;8.12833333333333;9.15666666666667;13.3016666666667;13.6233333333333;13.1933333333333;15.92;18.95;"A";"A"
"112";12.4787;13.1093;15.9908;15.645;15.5804;17.9339;20.3445;16.395;17.4233333333333;21.5683333333333;21.89;21.46;24.1866666666667;27.2166666666667;"A";"A"
"113";5.0006;7.9178;8.5127;10.4536;10.3889;12.7424;12.8663;9.22166666666667;10.6283333333333;14.395;15.095;14.665;17.3916666666667;20.0433333333333;"A";"A"
"114";7.2078;4.5473;8.9005;5.8267;5.6366;6.7222;8.9708;10.22;6.96333333333333;13.5316666666667;8.92333333333333;8.67;9.83666666666667;13.2783333333333;"B";"B"
"115";9.3521;6.6916;11.0448;7.595;7.4049;8.4905;10.7391;12.065;8.80833333333333;15.3766666666667;10.5983333333333;10.345;11.5116666666667;14.9533333333333;"B";"B"
"116";9.3521;6.6916;11.0448;7.595;7.4049;8.4905;10.7391;12.065;8.80833333333333;15.3766666666667;10.5983333333333;10.345;11.5116666666667;14.9533333333333;"B";"B"
"117";8.501;5.8405;10.1937;6.7439;6.5539;7.6394;9.888;11.5116666666667;8.255;14.8233333333333;10.045;9.79166666666667;10.9583333333333;14.4;"B";"B"
"118";2.3098;3.8045;5.8219;6.3403;6.2366;7.8905;10.1755;3.41333333333333;5.65666666666667;8.58666666666667;10.1233333333333;9.55166666666667;12.7816666666667;14.235;"A";"A"
"119";11.0474;8.3868;10.2654;6.7407;6.5506;6.7478;8.9786;15.9716666666667;12.715;15.9233333333333;11.0133333333333;10.76;10.865;14.3666666666667;"E";"E"
"120";10.95;8.2895;10.1681;6.6434;6.4533;6.6505;8.8813;15.7716666666667;12.515;15.7233333333333;10.8133333333333;10.56;10.665;14.1666666666667;"E";"E"
"121";10.9263;8.2658;10.1444;6.6196;6.4296;6.6268;8.8575;15.715;12.4583333333333;15.6666666666667;10.7566666666667;10.5033333333333;10.6083333333333;14.11;"E";"E"
"122";7.8064;5.1459;9.4991;6.0493;5.8593;6.9448;9.1934;10.8683333333333;7.61166666666667;14.18;9.40166666666667;9.14833333333333;10.315;13.7566666666667;"B";"B"
"123";2.1952;3.6899;5.7073;6.2257;6.122;7.7759;10.0609;2.985;5.22833333333333;8.15833333333333;9.695;9.12333333333333;12.3533333333333;13.8066666666667;"A";"A"
"124";2.571;2.7979;6.0831;5.3337;5.269;6.8839;9.2611;3.45833333333333;4.065;8.63166666666667;8.53166666666667;8.10166666666667;11.19;14.1783333333333;"A";"A"
"125";10.5258;7.8653;9.7439;6.2191;6.029;6.2263;8.457;15.0816666666667;11.825;15.0333333333333;10.1233333333333;9.87;9.975;13.4766666666667;"E";"E"
"126";10.5258;7.8653;9.7439;6.2191;6.029;6.2263;8.457;15.0816666666667;11.825;15.0333333333333;10.1233333333333;9.87;9.975;13.4766666666667;"E";"E"
"127";10.5258;7.8653;9.7439;6.2191;6.029;6.2263;8.457;15.0816666666667;11.825;15.0333333333333;10.1233333333333;9.87;9.975;13.4766666666667;"E";"E"
"128";2.2062;3.701;5.7183;6.2367;6.133;7.787;10.0719;2.93833333333333;5.18166666666667;8.11166666666667;9.64833333333333;9.07666666666667;12.3066666666667;13.76;"A";"A"
"129";9.3017;6.6412;9.5577;6.0329;5.8429;6.0401;8.2709;12.7316666666667;9.475;14.775;9.865;9.61166666666667;9.71666666666667;13.2183333333333;"E";"B"
"130";8.0054;5.3448;8.7393;5.2146;5.0245;6.1866;8.4173;12.0083333333333;8.75166666666667;15.1266666666667;10.2166666666667;9.96333333333333;10.1316666666667;13.6333333333333;"E";"B"
"131";1.8958;3.9805;5.4079;7.1014;5.8226;8.0665;9.7615;2.81166666666667;5.77666666666667;7.985;9.66333333333333;8.95;12.9016666666667;13.6333333333333;"A";"A"
"132";1.6981;3.7828;5.2102;6.9037;5.6249;7.8688;9.5638;2.33666666666667;5.30166666666667;7.51;9.18833333333333;8.475;12.4266666666667;13.1583333333333;"A";"A"
"133";2.5528;2.7798;6.0649;5.3156;5.2509;6.8658;9.243;3.345;3.99333333333333;8.51833333333333;8.46;8.03;11.1183333333333;14.1066666666667;"A";"A"
"134";2.5528;2.7798;6.0649;5.3156;5.2509;6.8658;9.243;3.345;3.99333333333333;8.51833333333333;8.46;8.03;11.1183333333333;14.1066666666667;"A";"A"
"135";2.5528;2.7798;6.0649;5.3156;5.2509;6.8658;9.243;3.345;3.99333333333333;8.51833333333333;8.46;8.03;11.1183333333333;14.1066666666667;"A";"A"
"136";7.6617;5.0011;8.3956;4.8709;4.6808;6.1768;8.0149;11.1533333333333;7.89666666666667;14.2716666666667;9.36166666666667;9.10833333333333;10.2233333333333;13.7166666666667;"E";"B"
"137";8.6423;5.9817;9.1838;5.659;5.469;5.6662;7.897;13.185;9.92833333333333;14.09;9.18;8.92666666666667;9.03166666666667;12.5333333333333;"E";"E"
"138";4.258;1.2599;6.4137;3.21;3.02;4.8145;7.1917;5.55833333333333;2.16;9.53166666666667;5.445;5.19166666666667;8.09333333333333;11.0816666666667;"B";"B"
"139";10.7939;8.1334;10.012;6.4872;6.2971;6.4944;8.7251;15.36;12.1033333333333;15.3116666666667;10.4016666666667;10.1483333333333;10.2533333333333;13.755;"E";"E"
"140";8.1521;5.5478;8.686;5.1612;4.9711;5.1684;7.3991;13.0866666666667;9.92666666666667;12.9783333333333;8.06833333333333;7.815;7.92;11.4216666666667;"E";"E"
"141";8.1521;5.5478;8.686;5.1612;4.9711;5.1684;7.3991;13.0866666666667;9.92666666666667;12.9783333333333;8.06833333333333;7.815;7.92;11.4216666666667;"E";"E"
"142";8.3779;5.7736;8.9118;5.387;5.197;5.3942;7.6249;13.5733333333333;10.4133333333333;13.465;8.555;8.30166666666667;8.40666666666667;11.9083333333333;"E";"E"
"143";8.3779;5.7736;8.9118;5.387;5.197;5.3942;7.6249;13.5733333333333;10.4133333333333;13.465;8.555;8.30166666666667;8.40666666666667;11.9083333333333;"E";"E"
"144";8.3779;5.7736;8.9118;5.387;5.197;5.3942;7.6249;13.5733333333333;10.4133333333333;13.465;8.555;8.30166666666667;8.40666666666667;11.9083333333333;"E";"E"
"145";8.3779;5.7736;8.9118;5.387;5.197;5.3942;7.6249;13.5733333333333;10.4133333333333;13.465;8.555;8.30166666666667;8.40666666666667;11.9083333333333;"E";"E"
"146";2.671;0.8365;6.1446;3.33;3.3076;5.0109;8.1424;4.72333333333333;1.25666666666667;9.1;5.83833333333333;5.29333333333333;8.83166666666667;11.7916666666667;"B";"B"
"147";8.567;5.9626;9.1008;5.5761;5.386;5.5832;7.814;13.87;10.71;13.7616666666667;8.85166666666667;8.59833333333333;8.70333333333333;12.205;"E";"E"
"148";2.5039;0.6694;5.9775;3.1508;3.1405;4.8294;7.9753;4.43166666666667;0.965;8.80833333333333;5.36666666666667;5.00166666666667;8.42833333333333;11.5;"B";"B"
"149";3.1948;1.3603;6.0552;2.8515;2.6615;4.3627;6.9919;5.93333333333333;2.46666666666667;8.9;4.81333333333333;4.56;7.66333333333333;10.715;"B";"B"
